iter	Passed	Remaining
0	47	95095
1	118	118087
2	155	103828
3	197	98793
4	224	89737
5	267	88751
6	312	89112
7	357	89091
8	371	82179
9	403	80327
10	432	78213
11	450	74655
12	479	73290
13	496	70381
14	502	66478
15	530	65761
16	543	63373
17	576	63444
18	600	62567
19	626	62058
20	670	63224
21	707	63611
22	727	62557
23	736	60639
24	772	61063
25	816	61968
26	824	60233
27	832	58613
28	840	57119
29	865	56854
30	930	59089
31	948	58344
32	980	58469
33	990	57284
34	1003	56364
35	1021	55719
36	1029	54610
37	1048	54142
38	1061	53378
39	1086	53251
40	1112	53164
41	1149	53609
42	1173	53428
43	1217	54143
44	1231	53512
45	1244	52867
46	1283	53336
47	1318	53600
48	1333	53093
49	1363	53171
50	1386	52967
51	1394	52251
52	1402	51526
53	1436	51749
54	1456	51521
55	1491	51769
56	1535	52329
57	1544	51728
58	1590	52311
59	1634	52860
60	1668	53040
61	1678	52467
62	1695	52127
63	1704	51572
64	1757	52321
65	1812	53112
66	1843	53192
67	1871	53177
68	1885	52775
69	1905	52547
70	1944	52822
71	1962	52540
72	1987	52453
73	2019	52553
74	2026	52016
75	2053	51993
76	2065	51586
77	2101	51781
78	2148	52242
79	2184	52435
80	2213	52430
81	2222	51979
82	2242	51803
83	2255	51437
84	2279	51360
85	2304	51283
86	2318	50975
87	2326	50542
88	2334	50117
89	2354	49966
90	2408	50523
91	2432	50456
92	2448	50216
93	2493	50550
94	2531	50757
95	2549	50570
96	2563	50285
97	2600	50466
98	2609	50098
99	2617	49723
100	2624	49345
101	2679	49858
102	2705	49834
103	2743	50021
104	2752	49680
105	2777	49625
106	2815	49809
107	2856	50041
108	2870	49796
109	2891	49688
110	2936	49970
111	2949	49712
112	2985	49857
113	3011	49823
114	3020	49510
115	3055	49629
116	3080	49574
117	3115	49685
118	3127	49433
119	3210	50301
120	3248	50444
121	3299	50788
122	3349	51108
123	3367	50944
124	3385	50775
125	3404	50632
126	3434	50659
127	3444	50380
128	3460	50196
129	3491	50226
130	3502	49965
131	3511	49699
132	3555	49910
133	3612	50312
134	3621	50030
135	3644	49951
136	3658	49748
137	3672	49547
138	3710	49676
139	3754	49881
140	3762	49607
141	3771	49352
142	3811	49491
143	3833	49405
144	3845	49190
145	3852	48924
146	3866	48735
147	3887	48641
148	3895	48393
149	3909	48218
150	3951	48385
151	3975	48335
152	4007	48380
153	4021	48203
154	4034	48020
155	4066	48067
156	4086	47972
157	4093	47726
158	4100	47480
159	4119	47377
160	4145	47349
161	4153	47119
162	4166	46951
163	4181	46809
164	4201	46725
165	4230	46743
166	4238	46519
167	4261	46473
168	4269	46254
169	4305	46343
170	4339	46412
171	4394	46706
172	4429	46778
173	4442	46625
174	4462	46534
175	4505	46691
176	4512	46479
177	4553	46609
178	4560	46396
179	4574	46249
180	4581	46043
181	4601	45961
182	4640	46079
183	4679	46183
184	4687	45987
185	4695	45794
186	4704	45608
187	4712	45418
188	4731	45335
189	4749	45247
190	4785	45324
191	4821	45406
192	4829	45217
193	4866	45300
194	4903	45390
195	4941	45478
196	4953	45339
197	4986	45384
198	5051	45718
199	5070	45631
200	5105	45696
201	5140	45752
202	5175	45814
203	5183	45634
204	5198	45521
205	5224	45497
206	5284	45772
207	5314	45787
208	5335	45725
209	5379	45852
210	5432	46056
211	5465	46099
212	5504	46178
213	5516	46042
214	5560	46165
215	5574	46039
216	5609	46092
217	5617	45918
218	5666	46086
219	5675	45918
220	5717	46020
221	5756	46106
222	5775	46025
223	5791	45920
224	5799	45755
225	5843	45867
226	5915	46205
227	5931	46096
228	5986	46295
229	6032	46427
230	6092	46657
231	6116	46615
232	6125	46452
233	6169	46561
234	6228	46782
235	6275	46903
236	6284	46749
237	6319	46784
238	6342	46731
239	6381	46794
240	6425	46897
241	6466	46975
242	6510	47074
243	6529	46989
244	6539	46845
245	6588	46973
246	6610	46915
247	6635	46874
248	6677	46959
249	6712	46986
250	6765	47145
251	6812	47257
252	6847	47282
253	6883	47320
254	6891	47160
255	6930	47217
256	6938	47059
257	6972	47075
258	6989	46981
259	7007	46895
260	7014	46737
261	7026	46610
262	7033	46453
263	7040	46294
264	7051	46167
265	7080	46157
266	7104	46109
267	7131	46086
268	7164	46101
269	7198	46121
270	7210	46003
271	7248	46051
272	7283	46077
273	7318	46101
274	7352	46123
275	7390	46164
276	7427	46198
277	7463	46232
278	7497	46250
279	7533	46276
280	7570	46311
281	7605	46333
282	7642	46368
283	7678	46392
284	7713	46415
285	7749	46442
286	7768	46366
287	7803	46389
288	7837	46399
289	7844	46254
290	7879	46275
291	7915	46302
292	7923	46159
293	7972	46261
294	8006	46274
295	8024	46194
296	8032	46059
297	8074	46116
298	8112	46148
299	8146	46165
300	8182	46184
301	8189	46043
302	8201	45933
303	8234	45940
304	8260	45909
